"Report_date","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Last_Update"
"03-24-2020","382","419","4","33","75","1","3","8534","4","0.95465393794749","17.899761336516","0.23866348448687","0.71599045346062","0.95465393794749","7.8758949880668","91.169451073986","4.9097726740098","2020-03-24 17:02:00"
"03-25-2020","426","480","8","46","87","1","3","8898","4","0.83333333333333","18.125","0.20833333333333","0.625","1.6666666666667","9.5833333333333","88.75","5.3944706675657","2020-03-25 13:39:00"
"03-26-2020","418","490","10","62","88","1","3","9971","4","0.81632653061224","17.959183673469","0.20408163265306","0.61224489795918","2.0408163265306","12.65306122449","85.30612244898","4.9142513288537","2020-03-26 14:20:00"
"03-27-2020","446","539","13","80","107","2","3","11384","5","0.92764378478664","19.851576994434","0.37105751391466","0.55658627087199","2.4118738404453","14.842300556586","82.745825602968","4.7347153900211","2020-03-27 14:33:00"
"03-28-2020","479","608","18","111","128","4","3","12941","7","1.1513157894737","21.052631578947","0.65789473684211","0.49342105263158","2.9605263157895","18.256578947368","78.782894736842","4.6982458851712","2020-03-28 12:48:00"
"03-29-2020","543","702","19","140","165","6","6","14632","12","1.7094017094017","23.504273504274","0.85470085470085","0.85470085470085","2.7065527065527","19.94301994302","77.350427350427","4.7977036632039","2020-03-29 14:14:00"
"03-30-2020","599","798","24","175","200","7","7","16622","14","1.7543859649123","25.062656641604","0.87719298245614","0.87719298245614","3.0075187969925","21.929824561404","75.062656641604","4.8008663217423","2020-03-30 13:19:00"
"03-31-2020","672","905","29","204","237","7","11","17580","18","1.9889502762431","26.187845303867","0.77348066298343","1.2154696132597","3.2044198895028","22.541436464088","74.254143646409","5.1478953356086","2020-03-31 14:15:00"
"04-01-2020","796","1065","33","236","305","12","13","19970","25","2.3474178403756","28.638497652582","1.1267605633803","1.2206572769953","3.0985915492958","22.159624413146","74.741784037559","5.3329994992489","2020-04-01 13:10:00"
"04-02-2020","855","1161","38","268","354","16","16","21202","32","2.7562446167097","30.490956072351","1.3781223083549","1.3781223083549","3.2730404823428","23.083548664944","73.643410852713","5.4758985001415","2020-04-02 13:40:00"
"04-03-2020","913","1266","50","303","401","20","20","22469","40","3.1595576619273","31.674565560821","1.5797788309637","1.5797788309637","3.9494470774092","23.9336492891","72.116903633491","5.6344296586408","2020-04-03 15:13:00"
"04-04-2020","997","1406","65","344","493","23","24","23706","47","3.3428165007112","35.064011379801","1.6358463726885","1.7069701280228","4.6230440967283","24.466571834993","70.910384068279","5.9309879355437","2020-04-04 14:30:00"
"04-05-2020","1050","1485","73","362","539","25","28","25264","53","3.5690235690236","36.296296296296","1.6835016835017","1.8855218855219","4.9158249158249","24.377104377104","70.707070707071","5.877929069031","2020-04-05 12:28:00"
"04-06-2020","1110","1579","84","385","593","28","33","27685","61","3.863204559848","37.555414819506","1.7732742241925","2.0899303356555","5.3198226725776","24.382520582647","70.297656744775","5.7034495214015","2020-04-06 15:31:00"
"04-07-2020","1207","1708","92","409","676","31","39","30445","70","4.0983606557377","39.578454332553","1.8149882903981","2.2833723653396","5.3864168618267","23.946135831382","70.667447306792","5.6101166037116","2020-04-07 15:41:00"
"04-08-2020","1508","2054","96","450","929","39","49","33575","88","4.284323271665","45.2288218111","1.8987341772152","2.3855890944499","4.6738072054528","21.90847127556","73.417721518987","6.1176470588235","2020-04-08 15:35:00"
"04-09-2020","1626","2223","108","489","1034","48","56","34910","104","4.6783625730994","46.513720197931","2.1592442645074","2.519118308592","4.8582995951417","21.997300944669","73.144399460189","6.3678029217989","2020-04-09 16:01:00"
"04-10-2020","1828","2474","113","533","1237","56","62","37593","118","4.7696038803557","50","2.2635408245756","2.5060630557801","4.5675020210186","21.544058205335","73.888439773646","6.5810124225255","2020-04-10 16:05:00"
"04-11-2020","2020","2709","121","568","1401","70","73","40603","143","5.2787006275378","51.71650055371","2.5839793281654","2.6947212993725","4.4665928386859","20.967146548542","74.566260612772","6.67192079403","2020-04-11 17:27:00"
"04-12-2020","2002","2776","133","641","1453","73","75","41765","148","5.3314121037464","52.341498559078","2.6296829971182","2.7017291066282","4.7910662824207","23.090778097983","72.118155619597","6.6467137555369","2020-04-12 15:47:00"
"04-13-2020","1993","2852","140","719","1520","78","78","43053","156","5.4698457223001","53.295932678822","2.7349228611501","2.7349228611501","4.9088359046283","25.210378681627","69.880785413745","6.6243931897893","2020-04-13 17:21:00"
"04-14-2020","2060","2978","151","767","1629","86","84","45423","170","5.7085292142377","54.701141705843","2.887844190732","2.8206850235057","5.0705171255876","25.755540631296","69.173942243116","6.5561499680778","2020-04-14 16:26:00"
"04-15-2020","2111","3104","163","830","1725","98","92","48628","190","6.1211340206186","55.573453608247","3.1572164948454","2.9639175257732","5.2512886597938","26.739690721649","68.009020618557","6.3831537385868","2020-04-15 15:42:00"
"04-16-2020","2174","3232","177","881","1835","104","96","52085","200","6.1881188118812","56.77599009901","3.2178217821782","2.970297029703","5.4764851485149","27.258663366337","67.264851485149","6.2052414322742","2020-04-16 16:17:00"
"04-17-2020","2356","3437","181","900","2014","121","100","55573","221","6.430026185627","58.597614198429","3.5205120744836","2.9095141111434","5.2662205411696","26.185627000291","68.548152458539","6.1846580173825","2020-04-17 16:14:00"
"04-18-2020","2507","3620","192","921","2170","135","106","59002","241","6.6574585635359","59.944751381215","3.7292817679558","2.9281767955801","5.3038674033149","25.441988950276","69.254143646409","6.1353852411783","2020-04-18 17:14:00"
"04-19-2020","2635","3794","199","960","2335","140","109","62746","249","6.5629942013706","61.544544016869","3.690036900369","2.8729573010016","5.2451238798102","25.303110173959","69.451765946231","6.0466005801167","2020-04-19 16:36:00"
"04-20-2020","2792","3976","206","978","2494","155","112","65169","267","6.715291750503","62.726358148893","3.8983903420523","2.8169014084507","5.1810865191147","24.597585513078","70.221327967807","6.1010603200908","2020-04-20 16:28:00"
"04-21-2020","2932","4148","213","1003","2645","169","114","68428","283","6.8225650916104","63.765670202507","4.0742526518804","2.74831243973","5.1350048216008","24.180327868852","70.684667309547","6.0618460279418","2020-04-21 16:32:00"
"04-22-2020","3134","4356","219","1003","2841","179","114","71500","293","6.7263544536272","65.220385674931","4.10927456382","2.6170798898072","5.0275482093664","23.025711662075","71.946740128558","6.0923076923077","2020-04-22 16:17:00"
"04-23-2020","3333","4561","225","1003","3021","201","114","74957","315","6.9063801797851","66.235474676606","4.4069283051962","2.4994518745889","4.9331286998465","21.990791493094","73.07607980706","6.084821964593","2020-04-23 16:38:00"
"04-24-2020","3653","4881","225","1003","3288","248","117","78078","365","7.4779758246261","67.363245236632","5.080926039746","2.3970497848801","4.6097111247695","20.549067813973","74.841221061258","6.2514408668255","2020-04-24 10:18:00"
