"DIVIPOLA","City_Municipality","ID_Deparment","Department","Sex","Range","People"
"11001","Bogota D.C.","11","Bogota D.C.","M","41-50","74"
"11001","Bogota D.C.","11","Bogota D.C.","M","91-99","18"
"11001","Bogota D.C.","11","Bogota D.C.","M","21-30","8"
"11001","Bogota D.C.","11","Bogota D.C.","M","31-40","30"
"11001","Bogota D.C.","11","Bogota D.C.","M","11-20","1"
"11001","Bogota D.C.","11","Bogota D.C.","M",">99","1"
"13001","Cartagena de Indias","13","Bolivar","F","51-60","25"
"13001","Cartagena de Indias","13","Bolivar","F","71-80","45"
"13001","Cartagena de Indias","13","Bolivar","F","61-70","29"
"13001","Cartagena de Indias","13","Bolivar","F","81-90","36"
"13001","Cartagena de Indias","13","Bolivar","F","41-50","16"
"13001","Cartagena de Indias","13","Bolivar","F","91-99","6"
"13001","Cartagena de Indias","13","Bolivar","F","21-30","5"
"13001","Cartagena de Indias","13","Bolivar","F","31-40","4"
"13001","Cartagena de Indias","13","Bolivar","F",">99","1"
"13001","Cartagena de Indias","13","Bolivar","M","51-60","31"
"13001","Cartagena de Indias","13","Bolivar","M","71-80","55"
"13001","Cartagena de Indias","13","Bolivar","M","61-70","55"
"13001","Cartagena de Indias","13","Bolivar","M","81-90","35"
"13001","Cartagena de Indias","13","Bolivar","M","41-50","21"
"13001","Cartagena de Indias","13","Bolivar","M","91-99","11"
"13001","Cartagena de Indias","13","Bolivar","M","21-30","4"
"13001","Cartagena de Indias","13","Bolivar","M","31-40","7"
"13001","Cartagena de Indias","13","Bolivar","M","11-20","2"
"13001","Cartagena de Indias","13","Bolivar","M","0-1","1"
"13001","Cartagena de Indias","13","Bolivar","M","2-10","1"
"13052","Arjona","13","Bolivar","F","61-70","1"
"13052","Arjona","13","Bolivar","F","11-20","1"
"13052","Arjona","13","Bolivar","M","51-60","1"
"13052","Arjona","13","Bolivar","M","71-80","3"
"13052","Arjona","13","Bolivar","M","61-70","1"
"13052","Arjona","13","Bolivar","M","81-90","1"
"13074","Barranco de Loba","13","Bolivar","F","51-60","1"
"13074","Barranco de Loba","13","Bolivar","F","41-50","1"
"13140","Calamar","13","Bolivar","M","71-80","1"
"13430","Magangue","13","Bolivar","F","51-60","1"
"13430","Magangue","13","Bolivar","F","61-70","4"
"13430","Magangue","13","Bolivar","F","81-90","1"
"13430","Magangue","13","Bolivar","M","71-80","2"
"13430","Magangue","13","Bolivar","M","61-70","2"
"13430","Magangue","13","Bolivar","M","81-90","5"
"13430","Magangue","13","Bolivar","M","41-50","1"
"13430","Magangue","13","Bolivar","M","21-30","1"
"13430","Magangue","13","Bolivar","M",">99","1"
"13683","Santa Rosa","13","Bolivar","F","71-80","1"
"13683","Santa Rosa","13","Bolivar","F","61-70","1"
"13683","Santa Rosa","13","Bolivar","F","81-90","2"
"13683","Santa Rosa","13","Bolivar","M","71-80","1"
"13683","Santa Rosa","13","Bolivar","M","61-70","1"
"13683","Santa Rosa","13","Bolivar","M","81-90","1"
"13683","Santa Rosa","13","Bolivar","M","41-50","1"
"13836","Turbaco","13","Bolivar","F","61-70","1"
"13836","Turbaco","13","Bolivar","F","81-90","1"
