"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Last_Update"
"EL BANCO","MAGDALENA","9.05756833011","-75.5728891535","0","1","1","0","0","0","0","","","","","","100","","","2020-04-22 16:17:00"
"EL CERRITO","VALLE DEL CAUCA","10.7668670891","-75.2027580712","10","11","1","0","9","1","0","1","9.0909090909091","81.818181818182","9.0909090909091","","9.0909090909091","","90.909090909091","2020-04-22 16:17:00"
"EL DOVIO","VALLE DEL CAUCA","4.51045288499","-76.2370841098","0","4","1","3","0","0","0","","","","","","25","75","","2020-04-22 16:17:00"
"EL SANTUARIO","ANTIOQUIA","6.13704685813","-75.2658497944","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"ENVIGADO","ANTIOQUIA","6.16700455162","-75.5830101409","14","25","0","11","13","1","0","1","4","52","4","","","44","56","2020-04-22 16:17:00"
"ESPINAL","TOLIMA","4.15131422057","-74.8854497584","2","3","1","0","2","0","0","","","66.666666666667","","","33.333333333333","","66.666666666667","2020-04-22 16:17:00"
"FACATATIVA","CUNDINAMARCA","4.81306417837","-74.3502279311","3","3","0","0","3","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"FILANDIA","QUINDIO","4.67414557186","-75.6586858841","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"FLORENCIA","CAQUETA","9.31366872153","-74.8915160804","1","2","1","0","1","0","0","","","50","","","50","","50","2020-04-22 16:17:00"
"FLORIDA","VALLE DEL CAUCA","3.32391810634","-76.2345017444","8","8","0","0","7","0","1","1","12.5","87.5","","12.5","","","100","2020-04-22 16:17:00"
"FLORIDABLANCA","SANTANDER","7.07236040291","-73.0990326168","4","7","0","3","3","0","1","1","14.285714285714","42.857142857143","","14.285714285714","","42.857142857143","57.142857142857","2020-04-22 16:17:00"
"FRONTINO","ANTIOQUIA","6.77606591161","-76.1307651388","0","1","0","1","0","0","0","","","","","","","100","","2020-04-22 16:17:00"
"FUNDACION","MAGDALENA","10.5140924032","-74.1913434578","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"FUNZA","CUNDINAMARCA","4.7127630154","-74.2115250018","8","8","0","0","8","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"FUSAGASUGA","CUNDINAMARCA","4.33848085051","-74.3663339328","0","1","0","1","0","0","0","","","","","","","100","","2020-04-22 16:17:00"
"GALAPA","ATLANTICO","10.9196410045","-74.8669380999","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"GARAGOA","BOYACA","5.08324346272","-73.3644275636","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"GARZON","HUILA","2.19699442096","-75.6276937365","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"GIGANTE","HUILA","2.38823562547","-75.5412198856","2","2","0","0","2","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"GINEBRA","VALLE DEL CAUCA","3.72418114734","-76.2680678884","0","1","1","0","0","0","0","","","","","","100","","","2020-04-22 16:17:00"
"GRANADA","ANTIOQUIA","6.14289666655","-75.1844450829","2","2","0","0","1","1","0","1","50","50","50","","","","100","2020-04-22 16:17:00"
"GUACARI","VALLE DEL CAUCA","3.76290900784","-76.3313673514","2","2","0","0","2","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"GUADALAJARA DE BUGA","VALLE DEL CAUCA","3.90082354377","-76.2989611331","7","8","0","1","6","1","0","1","12.5","75","12.5","","","12.5","87.5","2020-04-22 16:17:00"
"GUARNE","ANTIOQUIA","6.2780640767","-75.441653922","0","2","0","2","0","0","0","","","","","","","100","","2020-04-22 16:17:00"
"GUATAPE","ANTIOQUIA","6.23259270739","-75.1622925892","1","2","0","1","1","0","0","","","50","","","","50","50","2020-04-22 16:17:00"
"IBAGUE","TOLIMA","4.43960899136","-75.1937147765","19","36","1","16","18","0","1","1","2.7777777777778","50","","2.7777777777778","2.7777777777778","44.444444444444","52.777777777778","2020-04-22 16:17:00"
"IPIALES","NARIÑO","0.827734241442","-77.6464007453","29","33","3","1","26","3","0","3","9.0909090909091","78.787878787879","9.0909090909091","","9.0909090909091","3.030303030303","87.878787878788","2020-04-22 16:17:00"
"ITAGÜI","ANTIOQUIA","6.16959762893","-75.6143587142","8","13","0","5","6","1","1","2","15.384615384615","46.153846153846","7.6923076923077","7.6923076923077","","38.461538461538","61.538461538462","2020-04-22 16:17:00"
"JAMUNDI","VALLE DEL CAUCA","3.26227576022","-76.5424587285","7","9","1","1","7","0","0","","","77.777777777778","","","11.111111111111","11.111111111111","77.777777777778","2020-04-22 16:17:00"
"LA CALERA","CUNDINAMARCA","4.72034452148","-73.9697449587","0","1","0","1","0","0","0","","","","","","","100","","2020-04-22 16:17:00"
"LA CEJA","ANTIOQUIA","6.02805574408","-75.4294308862","1","2","0","1","0","1","0","1","50","","50","","","50","50","2020-04-22 16:17:00"
"LA DORADA","CALDAS","8.34513300359","-74.4778605477","24","28","2","2","24","0","0","","","85.714285714286","","","7.1428571428571","7.1428571428571","85.714285714286","2020-04-22 16:17:00"
"LA ESTRELLA","ANTIOQUIA","6.15841974028","-75.6451903823","4","6","0","2","4","0","0","","","66.666666666667","","","","33.333333333333","66.666666666667","2020-04-22 16:17:00"
"LA TEBAIDA","QUINDIO","6.00569607721","-75.0256207392","0","1","0","1","0","0","0","","","","","","","100","","2020-04-22 16:17:00"
"LA UNION","VALLE DEL CAUCA","6.38243035338","-75.6212252215","0","2","0","2","0","0","0","","","","","","","100","","2020-04-22 16:17:00"
"LA VIRGINIA","RISARALDA","4.49036013291","-75.6425417206","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"LETICIA","AMAZONAS","10.1820963025","-75.5118252981","6","6","0","0","5","1","0","1","16.666666666667","83.333333333333","16.666666666667","","","","100","2020-04-22 16:17:00"
"LORICA","CORDOBA","9.24085514265","-75.8159953999","1","2","0","1","0","1","0","1","50","","50","","","50","50","2020-04-22 16:17:00"
"MADRID","CUNDINAMARCA","9.19385244104","-74.7496541106","4","7","0","3","4","0","0","","","57.142857142857","","","","42.857142857143","57.142857142857","2020-04-22 16:17:00"
"MALAMBO","ATLANTICO","10.8562872414","-74.7742405717","2","2","0","0","2","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"MANIZALES","CALDAS","7.8368375609","-75.4143614377","7","12","0","5","7","0","0","","","58.333333333333","","","","41.666666666667","58.333333333333","2020-04-22 16:17:00"
"MARSELLA","RISARALDA","5.86293376288","-75.6878392213","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"MEDELLIN","ANTIOQUIA","5.6101097761033","-74.886816625","168","250","2","80","148","14","6","20","8","59.2","5.6","2.4","0.8","32","67.2","2020-04-22 16:17:00"
"MELGAR","TOLIMA","4.20815489203","-74.6298504009","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"MIRANDA","CAUCA","3.25309540523","-76.2288698651","4","5","1","0","3","1","0","1","20","60","20","","20","","80","2020-04-22 16:17:00"
"MONTEBELLO","ANTIOQUIA","5.94632556697","-75.5235109116","3","3","0","0","3","0","0","","","100","","","","","100","2020-04-22 16:17:00"
"MONTENEGRO","QUINDIO","4.5629597433","-75.7518122369","2","3","1","0","2","0","0","","","66.666666666667","","","33.333333333333","","66.666666666667","2020-04-22 16:17:00"
"MONTERIA","CORDOBA","8.7451325909","-75.8755779091","13","15","1","1","13","0","0","","","86.666666666667","","","6.6666666666667","6.6666666666667","86.666666666667","2020-04-22 16:17:00"
"MOSQUERA","CUNDINAMARCA","4.71137120122","-74.2317750849","4","6","0","2","3","0","1","1","16.666666666667","50","","16.666666666667","","33.333333333333","66.666666666667","2020-04-22 16:17:00"
"NEIVA","HUILA","8.55014492944","-75.5402712159","38","64","3","23","30","4","4","8","12.5","46.875","6.25","6.25","4.6875","35.9375","59.375","2020-04-22 16:17:00"
"OCAÑA","NORTE DE SANTANDER","8.246111","-73.355278","0","1","1","0","0","0","0","","","","","","100","","","2020-04-22 16:17:00"
"OICATA","BOYACA","5.59523423857","-73.3084039802","0","1","0","1","0","0","0","","","","","","","100","","2020-04-22 16:17:00"
"PACHO","CUNDINAMARCA","5.13694229685","-74.1561166248","11","11","0","0","8","3","0","3","27.272727272727","72.727272727273","27.272727272727","","","","100","2020-04-22 16:17:00"
"PAICOL","HUILA","2.44954894922","-75.7729923197","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-22 16:17:00"
