"City_Municipality","Department","Latitude","longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Hospitalization_Rate","Mortality_Rate","Last_Update"
"GARAGOA","BOYACÁ","5.08324346272","-73.3644275636","1","1","0","0","1","0","0","","","","2020-04-09 16:01:00"
"GINEBRA","VALLE DEL CAUCA","3.72418114734","-76.2680678884","1","1","0","0","0","1","0","1","100","","2020-04-09 16:01:00"
"GUACARI","VALLE DEL CAUCA","3.76290900784","-76.3313673514","1","1","0","0","1","0","0","","","","2020-04-09 16:01:00"
"GUARNE","ANTIOQUIA","6.2780640767","-75.441653922","2","2","0","0","1","0","0","","","","2020-04-09 16:01:00"
"GUATAPE","ANTIOQUIA","6.23259270739","-75.1622925892","1","1","0","0","0","0","0","","","","2020-04-09 16:01:00"
"IBAGUE","TOLIMA","4.43960899136","-75.1937147765","15","15","0","0","11","0","0","","","","2020-04-09 16:01:00"
"IPIALES","NARIÑO","0.827734241442","-77.6464007453","9","10","1","0","7","2","0","2","20","10","2020-04-09 16:01:00"
"ITAGUI","ANTIOQUIA","6.16959762893","-75.6143587142","10","10","0","0","7","1","1","2","20","","2020-04-09 16:01:00"
"JAMUNDI","VALLE DEL CAUCA","3.26227576022","-76.5424587285","4","4","0","0","4","0","0","","","","2020-04-09 16:01:00"
"LA CALERA","CUNDINAMARCA","4.72034452148","-73.9697449587","1","1","0","0","0","1","0","1","100","","2020-04-09 16:01:00"
"LA CEJA","ANTIOQUIA","6.02805574408","-75.4294308862","2","2","0","0","1","1","0","1","50","","2020-04-09 16:01:00"
"LA DORADA","CALDAS","8.34513300359","-74.4778605477","9","9","0","0","8","1","0","1","11.111111111111","","2020-04-09 16:01:00"
"LA ESTRELLA","ANTIOQUIA","6.15841974028","-75.6451903823","4","4","0","0","4","0","0","","","","2020-04-09 16:01:00"
"LA TEBAIDA","QUINDÍO","6.00569607721","-75.0256207392","1","1","0","0","1","0","0","","","","2020-04-09 16:01:00"
"LA UNION","VALLE DEL CAUCA","6.38243035338","-75.6212252215","2","2","0","0","1","1","0","1","50","","2020-04-09 16:01:00"
"LORICA","CÓRDOBA","9.24085514265","-75.8159953999","1","1","0","0","1","0","0","","","","2020-04-09 16:01:00"
"MADRID","CUNDINAMARCA","9.19385244104","-74.7496541106","3","3","0","0","2","1","0","1","33.333333333333","","2020-04-09 16:01:00"
"MANIZALES","CALDAS","7.8368375609","-75.4143614377","8","8","0","0","6","0","0","","","","2020-04-09 16:01:00"
"MEDELLIN","ANTIOQUIA","5.6101097761033","-74.886816625","143","144","1","0","119","9","3","12","8.3333333333333","0.69444444444444","2020-04-09 16:01:00"
"MIRANDA","CAUCA","3.25309540523","-76.2288698651","1","1","0","0","0","1","0","1","100","","2020-04-09 16:01:00"
"MONTEBELLO","ANTIOQUIA","5.94632556697","-75.5235109116","3","3","0","0","3","0","0","","","","2020-04-09 16:01:00"
