"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospitalization_Rate","Mortality_Rate","Recovery_Rates","Last_Update"
"FUNDACION","MAGDALENA","10.5140924032","-74.1913434578","1","1","0","0","1","0","0","","","","","2020-04-19 16:36:00"
"FUNZA","CUNDINAMARCA","4.7127630154","-74.2115250018","7","7","0","0","7","0","0","","","","","2020-04-19 16:36:00"
"FUSAGASUGA","CUNDINAMARCA","4.33848085051","-74.3663339328","0","1","0","1","0","0","0","","","","100","2020-04-19 16:36:00"
"GALAPA","ATLANTICO","10.9196410045","-74.8669380999","1","1","0","0","1","0","0","","","","","2020-04-19 16:36:00"
"GARAGOA","BOYACA","5.08324346272","-73.3644275636","1","1","0","0","1","0","0","","","","","2020-04-19 16:36:00"
"GARZON","HUILA","2.19699442096","-75.6276937365","1","1","0","0","1","0","0","","","","","2020-04-19 16:36:00"
"GIGANTE","HUILA","2.38823562547","-75.5412198856","2","2","0","0","2","0","0","","","","","2020-04-19 16:36:00"
"GINEBRA","VALLE DEL CAUCA","3.72418114734","-76.2680678884","0","1","1","0","0","0","0","","","100","","2020-04-19 16:36:00"
"GRANADA","ANTIOQUIA","6.14289666655","-75.1844450829","1","1","0","0","0","1","0","1","100","","","2020-04-19 16:36:00"
"GUACARI","VALLE DEL CAUCA","3.76290900784","-76.3313673514","2","2","0","0","2","0","0","","","","","2020-04-19 16:36:00"
"GUADALAJARA DE BUGA","VALLE DEL CAUCA","3.90082354377","-76.2989611331","6","8","0","2","5","1","0","1","12.5","","25","2020-04-19 16:36:00"
"GUARNE","ANTIOQUIA","6.2780640767","-75.441653922","0","2","0","2","0","0","0","","","","100","2020-04-19 16:36:00"
"GUATAPE","ANTIOQUIA","6.23259270739","-75.1622925892","1","2","0","1","1","0","0","","","","50","2020-04-19 16:36:00"
"IBAGUE","TOLIMA","4.43960899136","-75.1937147765","14","28","1","13","13","0","1","1","3.5714285714286","3.5714285714286","46.428571428571","2020-04-19 16:36:00"
"IPIALES","NARIÑO","0.827734241442","-77.6464007453","17","19","2","0","14","3","0","3","15.789473684211","10.526315789474","","2020-04-19 16:36:00"
"SAN JOSE DE ISNOS","HUILA","1.92946706016","-76.2176374469","0","1","1","0","0","0","0","","","100","","2020-04-19 16:36:00"
"ITAGUI","ANTIOQUIA","6.16959762893","-75.6143587142","8","13","0","5","8","0","0","","","","38.461538461538","2020-04-19 16:36:00"
"JAMUNDI","VALLE DEL CAUCA","3.26227576022","-76.5424587285","6","7","1","0","6","0","0","","","14.285714285714","","2020-04-19 16:36:00"
"LA CALERA","CUNDINAMARCA","4.72034452148","-73.9697449587","0","1","0","1","0","0","0","","","","100","2020-04-19 16:36:00"
"LA CEJA","ANTIOQUIA","6.02805574408","-75.4294308862","1","2","0","1","0","1","0","1","50","","50","2020-04-19 16:36:00"
"LA DORADA","CALDAS","8.34513300359","-74.4778605477","22","26","2","2","22","0","0","","","7.6923076923077","7.6923076923077","2020-04-19 16:36:00"
"LA ESTRELLA","ANTIOQUIA","6.15841974028","-75.6451903823","4","6","0","2","4","0","0","","","","33.333333333333","2020-04-19 16:36:00"
"LA TEBAIDA","QUINDIO","6.00569607721","-75.0256207392","0","1","0","1","0","0","0","","","","100","2020-04-19 16:36:00"
"LA UNION","VALLE DEL CAUCA","6.38243035338","-75.6212252215","0","2","0","2","0","0","0","","","","100","2020-04-19 16:36:00"
"LA VIRGINIA","RISARALDA","4.49036013291","-75.6425417206","1","1","0","0","1","0","0","","","","","2020-04-19 16:36:00"
