"DIVIPOLA","City_Municipality","ID_Deparment","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospital_Beds","Total_Hospital_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Last_Update"
"15516","Paipa","15","Boyaca","5.77994187","-73.11791688","6","6","0","0","0","6","0","6","4","150.000","100.000","0.000","100.000","0.000","0.000","0.000","0.000","100.000","2020-05-16 16:53:00"
"15646","Samaca","15","Boyaca","5.492314591","-73.48564359","1","2","1","0","1","0","0","0","3","0.000","0.000","50.000","0.000","0.000","50.000","5.314","0.000","50.000","2020-05-16 16:53:00"
"15686","Santana","15","Boyaca","6.057413107","-73.48122632","1","4","0","3","1","0","0","0","0","","0.000","25.000","0.000","0.000","0.000","0.000","75.000","25.000","2020-05-16 16:53:00"
"15693","Santa Rosa de Viterbo","15","Boyaca","5.874555597","-72.98246092","1","1","0","0","0","1","0","1","0","","100.000","0.000","100.000","0.000","0.000","0.000","0.000","100.000","2020-05-16 16:53:00"
"15696","Santa Sofia","15","Boyaca","5.713269421","-73.60270717","1","1","0","0","1","0","0","0","0","","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","2020-05-16 16:53:00"
"15757","Socha","15","Boyaca","5.996713021","-72.69196586","1","3","0","2","1","0","0","0","2","0.000","0.000","33.333","0.000","0.000","0.000","0.000","66.667","33.333","2020-05-16 16:53:00"
"15759","Sogamoso","15","Boyaca","5.72568939","-72.92304769","5","7","0","2","4","1","0","1","171","0.585","14.286","57.143","14.286","0.000","0.000","0.000","28.571","71.429","2020-05-16 16:53:00"
"15776","Sutamarchan","15","Boyaca","5.619781419","-73.6205861","1","1","0","0","1","0","0","0","0","","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","2020-05-16 16:53:00"
"15798","Tenza","15","Boyaca","5.077074351","-73.42058911","0","2","0","2","0","0","0","0","0","","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","2020-05-16 16:53:00"
"15808","Tinjaca","15","Boyaca","5.57971331","-73.64684734","1","1","0","0","1","0","0","0","0","","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","2020-05-16 16:53:00"
"15810","Tipacoque","15","Boyaca","6.418585803","-72.69317268","1","1","0","0","0","0","1","1","0","","100.000","0.000","0.000","100.000","0.000","0.000","0.000","100.000","2020-05-16 16:53:00"
"15816","Togui","15","Boyaca","5.937438225","-73.51365506","4","14","0","10","4","0","0","0","0","","0.000","28.571","0.000","0.000","0.000","0.000","71.429","28.571","2020-05-16 16:53:00"
"15835","Turmeque","15","Boyaca","5.323252768","-73.49184702","3","3","0","0","3","0","0","0","2","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","2020-05-16 16:53:00"
"15879","Viracacha","15","Boyaca","5.436788535","-73.29689965","1","1","0","0","1","0","0","0","0","","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","2020-05-16 16:53:00"
"17001","Manizales","17","Caldas","5.057688197","-75.49104898","14","34","2","18","13","1","0","1","796","0.126","2.941","38.235","2.941","0.000","5.882","0.448","52.941","41.176","2020-05-16 16:53:00"
"17013","Aguadas","17","Caldas","5.610244456","-75.45486967","1","1","0","0","1","0","0","0","8","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","2020-05-16 16:53:00"
"17042","Anserma","17","Caldas","5.236474391","-75.78434266","0","1","0","1","0","0","0","0","10","0.000","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","2020-05-16 16:53:00"
"17174","Chinchina","17","Caldas","4.985812862","-75.60748073","2","6","0","4","2","0","0","0","38","0.000","0.000","33.333","0.000","0.000","0.000","0.000","66.667","33.333","2020-05-16 16:53:00"
"17380","La Dorada","17","Caldas","5.444406098","-74.65820562","31","55","2","22","31","0","0","0","61","0.000","0.000","56.364","0.000","0.000","3.636","2.702","40.000","56.364","2020-05-16 16:53:00"
"17433","Manzanares","17","Caldas","5.255720253","-75.15282885","2","2","0","0","1","1","0","1","5","20.000","50.000","50.000","50.000","0.000","0.000","0.000","0.000","100.000","2020-05-16 16:53:00"
"17442","Marmato","17","Caldas","5.47400482","-75.60024162","1","1","0","0","1","0","0","0","5","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","2020-05-16 16:53:00"
"17444","Marquetalia","17","Caldas","5.297524561","-75.05309703","4","5","0","1","3","1","0","1","5","20.000","20.000","60.000","20.000","0.000","0.000","0.000","20.000","80.000","2020-05-16 16:53:00"
"17495","Norcasia","17","Caldas","5.574795393","-74.88954408","0","1","1","0","0","0","0","0","4","0.000","0.000","0.000","0.000","0.000","100.000","16.319","0.000","0.000","2020-05-16 16:53:00"
"17614","Riosucio","17","Caldas","5.423680913","-75.70206971","1","1","0","0","1","0","0","0","14","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","2020-05-16 16:53:00"
"17616","Risaralda","17","Caldas","5.164508957","-75.76721954","1","1","0","0","0","1","0","1","6","16.667","100.000","0.000","100.000","0.000","0.000","0.000","0.000","100.000","2020-05-16 16:53:00"
"17662","Samana","17","Caldas","5.413086301","-74.99225776","2","2","0","0","1","1","0","1","9","11.111","50.000","50.000","50.000","0.000","0.000","0.000","0.000","100.000","2020-05-16 16:53:00"
"17873","Villamaria","17","Caldas","5.043806686","-75.5137606","3","7","0","4","3","0","0","0","7","0.000","0.000","42.857","0.000","0.000","0.000","0.000","57.143","42.857","2020-05-16 16:53:00"
"17877","Viterbo","17","Caldas","5.062664236","-75.87060986","0","2","0","2","0","0","0","0","3","0.000","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","2020-05-16 16:53:00"
"18001","Florencia","18","Caqueta","1.61792293","-75.60856043","18","19","1","0","18","0","0","0","257","0.000","0.000","94.737","0.000","0.000","5.263","0.578","0.000","94.737","2020-05-16 16:53:00"
"18753","San Vicente del Caguan","18","Caqueta","2.119786131","-74.76734058","1","1","0","0","0","1","0","1","8","12.500","100.000","0.000","100.000","0.000","0.000","0.000","0.000","100.000","2020-05-16 16:53:00"
"19001","Popayan","19","Cauca","2.482503391","-76.57406468","9","26","1","16","9","0","0","0","660","0.000","0.000","34.615","0.000","0.000","3.846","0.307","61.538","34.615","2020-05-16 16:53:00"
"19142","Caloto","19","Cauca","3.034070778","-76.40848704","1","1","0","0","1","0","0","0","4","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","2020-05-16 16:53:00"
"19256","El Tambo","19","Cauca","2.45137136","-76.81077225","3","4","0","1","3","0","0","0","5","0.000","0.000","75.000","0.000","0.000","0.000","0.000","25.000","75.000","2020-05-16 16:53:00"
"19300","Guachene","19","Cauca","3.134153295","-76.39218874","0","1","0","1","0","0","0","0","0","","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","2020-05-16 16:53:00"
"19455","Miranda","19","Cauca","3.253095405","-76.22886987","0","6","1","5","0","0","0","0","3","0.000","0.000","0.000","0.000","0.000","16.667","3.117","83.333","0.000","2020-05-16 16:53:00"
"19548","Piendamo","19","Cauca","2.641987578","-76.52850592","10","10","0","0","9","1","0","1","5","20.000","10.000","90.000","10.000","0.000","0.000","0.000","0.000","100.000","2020-05-16 16:53:00"
"19573","Puerto Tejada","19","Cauca","3.233294127","-76.4173078","3","5","0","2","3","0","0","0","9","0.000","0.000","60.000","0.000","0.000","0.000","0.000","40.000","60.000","2020-05-16 16:53:00"
"19698","Santander de Quilichao","19","Cauca","3.016053901","-76.48537029","2","3","1","0","1","1","0","1","32","3.125","33.333","33.333","33.333","0.000","33.333","0.885","0.000","66.667","2020-05-16 16:53:00"
