"DIVIPOLA","City_Municipality","ID_Deparment","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospital_Beds","Total_Hospital_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Cases_Share_Of_Population","Deaths_Share_Of_Population","Last_Update"
"50568","Puerto Gaitan","50","Meta","4.314487455","-72.08307894","9","10","0","1","9","0","0","0","13","0.000","0.000","0.900","0.000","0.000","0.000","0.0000000","0.100","0.900","4361","","2020-06-25 16:44:00"
"50573","Puerto Lopez","50","Meta","4.093406425","-72.95743626","1","5","2","2","0","1","0","1","7","0.143","0.200","0.000","0.200","0.000","0.400","6.5980470","0.400","0.200","6062","15156","2020-06-25 16:44:00"
"50606","Restrepo","50","Meta","4.260731994","-73.56460418","3","7","1","3","2","1","0","1","6","0.167","0.143","0.286","0.143","0.000","0.143","5.3596313","0.429","0.429","2665","18658","2020-06-25 16:44:00"
"50680","San Carlos de Guaroa","50","Meta","3.71053664","-73.24140912","2","2","0","0","0","2","0","2","5","0.400","1.000","0.000","1.000","0.000","0.000","0.0000000","0.000","1.000","6438","","2020-06-25 16:44:00"
"50683","San Juan de Arama","50","Meta","3.373727874","-73.87583154","0","3","0","3","0","0","0","0","5","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","2955","","2020-06-25 16:44:00"
"50689","San Martin","50","Meta","3.701879876","-73.69561782","2","2","0","0","2","0","0","0","13","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","13250","","2020-06-25 16:44:00"
"52001","Pasto","52","Narino","1.212124365","-77.27857635","299","485","14","172","256","36","4","40","893","0.045","0.082","0.528","0.074","0.008","0.029","3.5660704","0.355","0.616","809","28042","2020-06-25 16:44:00"
"52022","Aldana","52","Narino","0.882181195","-77.70035656","4","13","0","9","4","0","0","0","0","","0.000","0.308","0.000","0.000","0.000","0.0000000","0.692","0.308","566","","2020-06-25 16:44:00"
"52036","Ancuya","52","Narino","1.263299977","-77.51451329","0","1","0","1","0","0","0","0","0","","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","8603","","2020-06-25 16:44:00"
"52051","Arboleda","52","Narino","1.503536564","-77.13539889","1","2","0","1","1","0","0","0","0","","0.000","0.500","0.000","0.000","0.000","0.0000000","0.500","0.500","4210","","2020-06-25 16:44:00"
"52079","Barbacoas","52","Narino","1.670345194","-78.13989493","11","13","1","1","9","2","0","2","12","0.167","0.154","0.692","0.154","0.000","0.077","1.7690974","0.077","0.846","4348","56526","2020-06-25 16:44:00"
"52083","Belen","52","Narino","1.595676066","-77.01566573","0","1","0","1","0","0","0","0","0","","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","6301","","2020-06-25 16:44:00"
"52203","Colon","52","Narino","1.643874302","-77.01977704","1","1","0","0","1","0","0","0","0","","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","8316","","2020-06-25 16:44:00"
"52210","Contadero","52","Narino","0.910457863","-77.54940902","1","5","0","4","1","0","0","0","1","0.000","0.000","0.200","0.000","0.000","0.000","0.0000000","0.800","0.200","1447","","2020-06-25 16:44:00"
"52215","Cordoba","52","Narino","0.854564418","-77.51789656","1","2","0","1","1","0","0","0","1","0.000","0.000","0.500","0.000","0.000","0.000","0.0000000","0.500","0.500","7739","","2020-06-25 16:44:00"
"52224","Cuaspud","52","Narino","0.862978103","-77.72894683","0","7","1","6","0","0","0","0","0","","0.000","0.000","0.000","0.000","0.143","10.8719287","0.857","0.000","1314","9198","2020-06-25 16:44:00"
"52227","Cumbal","52","Narino","0.906185361","-77.79227662","4","41","0","37","4","0","0","0","5","0.000","0.000","0.098","0.000","0.000","0.000","0.0000000","0.902","0.098","903","","2020-06-25 16:44:00"
"52233","Cumbitara","52","Narino","1.646845971","-77.57814673","1","3","0","2","1","0","0","0","0","","0.000","0.333","0.000","0.000","0.000","0.0000000","0.667","0.333","1923","","2020-06-25 16:44:00"
"52240","Chachagui","52","Narino","1.36032802","-77.28170144","8","8","0","0","6","2","0","2","10","0.200","0.250","0.750","0.250","0.000","0.000","0.0000000","0.000","1.000","1913","","2020-06-25 16:44:00"
"52250","El Charco","52","Narino","2.477550593","-78.109849","44","64","2","18","40","4","0","4","9","0.444","0.063","0.625","0.063","0.000","0.031","8.8691796","0.281","0.688","352","11275","2020-06-25 16:44:00"
"52254","El Penol","52","Narino","1.452892601","-77.43785937","3","3","0","0","3","0","0","0","0","","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","2481","","2020-06-25 16:44:00"
"52260","El Tambo","52","Narino","1.407643422","-77.39020466","1","2","1","0","1","0","0","0","6","0.000","0.000","0.500","0.000","0.000","0.500","7.2416540","0.000","0.500","6905","13809","2020-06-25 16:44:00"
"52317","Guachucal","52","Narino","0.959743484","-77.73158986","1","5","0","4","1","0","0","0","4","0.000","0.000","0.200","0.000","0.000","0.000","0.0000000","0.800","0.200","3868","","2020-06-25 16:44:00"
