"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospital_Capacity","Hospital_Capacity_Rate","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Last_Update"
"Guaduas","Cundinamarca","5.0718705327","-74.6029562704","1","1","0","0","1","0","0","","20","","","100","","","","","100","2020-04-28 17:13:00"
"Guarne","Antioquia","6.2780640767","-75.441653922","1","3","0","2","1","0","0","","8","","","33.333333333333","","","","66.666666666667","33.333333333333","2020-04-28 17:13:00"
"Guatapé","Antioquia","6.23259270739","-75.1622925892","1","2","0","1","0","1","0","1","5","20","50","","50","","","50","50","2020-04-28 17:13:00"
"Ibagué","Tolima","4.43960899136","-75.1937147765","40","57","1","16","38","0","2","2","1174","0.17035775127768","3.5087719298246","66.666666666667","","3.5087719298246","1.7543859649123","28.070175438596","70.175438596491","2020-04-28 17:13:00"
"Ipiales","Nariño","0.827734241442","-77.6464007453","47","53","3","3","43","1","3","4","206","1.9417475728155","7.5471698113208","81.132075471698","1.8867924528302","5.6603773584906","5.6603773584906","5.6603773584906","88.679245283019","2020-04-28 17:13:00"
"Isnos","Huila","1.92946706016","-76.2176374469","0","1","1","0","0","0","0","","7","","","","","","100","","","2020-04-28 17:13:00"
"Itagüí","Antioquia","6.16959762893","-75.6143587142","11","16","0","5","9","1","1","2","337","0.59347181008902","12.5","56.25","6.25","6.25","","31.25","68.75","2020-04-28 17:13:00"
"Jamundí","Valle del Cauca","3.26227576022","-76.5424587285","6","11","1","4","6","0","0","","129","","","54.545454545455","","","9.0909090909091","36.363636363636","54.545454545455","2020-04-28 17:13:00"
"La Calera","Cundinamarca","4.72034452148","-73.9697449587","0","1","0","1","0","0","0","","0","","","","","","","100","","2020-04-28 17:13:00"
"La Ceja","Antioquia","6.02805574408","-75.4294308862","0","2","0","2","0","0","0","","240","","","","","","","100","","2020-04-28 17:13:00"
"La Dorada","Caldas","8.34513300359","-74.4778605477","27","31","2","2","27","0","0","","122","","","87.096774193548","","","6.4516129032258","6.4516129032258","87.096774193548","2020-04-28 17:13:00"
"La Estrella","Antioquia","6.15841974028","-75.6451903823","6","9","0","3","6","0","0","","6","","","66.666666666667","","","","33.333333333333","66.666666666667","2020-04-28 17:13:00"
"La Paz","Cesar","2.43235998842","-76.9602448248","1","1","0","0","1","0","0","","5","","","100","","","","","100","2020-04-28 17:13:00"
"La Tebaida","Quindio","6.00569607721","-75.0256207392","0","1","0","1","0","0","0","","16","","","","","","","100","","2020-04-28 17:13:00"
"La Unión","Valle del Cauca","6.38243035338","-75.6212252215","0","2","0","2","0","0","0","","8","","","","","","","100","","2020-04-28 17:13:00"
"La Virginia","Risaralda","4.49036013291","-75.6425417206","1","1","0","0","1","0","0","","35","","","100","","","","","100","2020-04-28 17:13:00"
"Leticia","Amazonas","10.1820963025","-75.5118252981","75","77","2","0","61","14","0","14","141","9.9290780141844","18.181818181818","79.220779220779","18.181818181818","","2.5974025974026","","97.402597402597","2020-04-28 17:13:00"
"Lorica","Córdoba","9.24085514265","-75.8159953999","3","5","1","1","3","0","0","","260","","","60","","","20","20","60","2020-04-28 17:13:00"
"Madrid","Cundinamarca","9.19385244104","-74.7496541106","4","8","0","4","4","0","0","","29","","","50","","","","50","50","2020-04-28 17:13:00"
"Malambo","Atlántico","10.8562872414","-74.7742405717","9","9","0","0","6","0","3","3","105","2.8571428571429","33.333333333333","66.666666666667","","33.333333333333","","","100","2020-04-28 17:13:00"
"Manatí","Atlántico","10.4489623783","-74.9570349911","1","1","0","0","1","0","0","","2","","","100","","","","","100","2020-04-28 17:13:00"
"Manizales","Caldas","7.8368375609","-75.4143614377","8","15","0","7","8","0","0","","1595","","","53.333333333333","","","","46.666666666667","53.333333333333","2020-04-28 17:13:00"
