"City_Municipality","Department","Latitude","longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Hospitalization_Rate","Mortality_Rate","Last_Update"
"TUMACO","NARIÑO","1.80711725006","-78.7638541478","1","1","0","0","1","0","0","","","","2020-04-07 15:41:00"
"TUNJA","BOYACÁ","5.53995323795","-73.3554887287","1","2","1","0","1","0","0","","","50","2020-04-07 15:41:00"
"TURBACO","BOLÍVAR","10.3327691633","-75.4244091655","1","1","0","0","1","0","0","","","","2020-04-07 15:41:00"
"ULLOA","VALLE DEL CAUCA","4.70251391059","-75.7377474697","1","1","0","0","1","0","0","","","","2020-04-07 15:41:00"
"VALLEDUPAR","CESAR","10.4604812152","-73.259389309","14","17","0","3","12","1","1","2","11.764705882353","","2020-04-07 15:41:00"
"VILLA DEL ROSARIO","NORTE DE SANTANDER","5.89524387061","-76.5440065535","1","1","0","0","1","0","0","","","","2020-04-07 15:41:00"
"VILLAMARIA","CALDAS","5.04380668643","-75.5137606023","2","2","0","0","2","0","0","","","","2020-04-07 15:41:00"
"VILLAPINZON","CUNDINAMARCA","5.21643837183","-73.5953546674","0","2","2","0","0","0","0","","","100","2020-04-07 15:41:00"
"VILLAVICENCIO","META","8.45697278227","-76.1247069871","11","13","1","1","11","0","0","","","7.6923076923077","2020-04-07 15:41:00"
"VILLETA","CUNDINAMARCA","5.01279063928","-74.469704945","2","2","0","0","2","0","0","","","","2020-04-07 15:41:00"
"VITERBO","CALDAS","5.06266423587","-75.8706098599","1","2","0","1","1","0","0","","","","2020-04-07 15:41:00"
"YARUMAL","ANTIOQUIA","6.96387235163","-75.4188331376","1","1","0","0","1","0","0","","","","2020-04-07 15:41:00"
"YOPAL","CASANARE","5.3276126513","-72.396915159","1","2","0","1","1","0","0","","","","2020-04-07 15:41:00"
"YUMBO","VALLE DEL CAUCA","3.52896890809","-76.499819783","6","6","0","0","6","0","0","","","","2020-04-07 15:41:00"
"ZIPAQUIRA","CUNDINAMARCA","5.02547168537","-73.9944712419","2","3","1","0","2","0","0","","","33.333333333333","2020-04-07 15:41:00"
