"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Last_Update"
"Ipiales","Nariño","0.827734241442","-77.6464007453","38","42","3","1","35","1","2","3","7.1428571428571","83.333333333333","2.3809523809524","4.7619047619048","7.1428571428571","2.3809523809524","90.47619047619","2020-04-24 10:18:00"
"Isnos","Huila","1.92946706016","-76.2176374469","0","1","1","0","0","0","0","","","","","","100","","","2020-04-24 10:18:00"
"Itagüí","Antioquia","6.16959762893","-75.6143587142","11","16","0","5","9","1","1","2","12.5","56.25","6.25","6.25","","31.25","68.75","2020-04-24 10:18:00"
"Jamundí","Valle del Cauca","3.26227576022","-76.5424587285","6","10","1","3","6","0","0","","","60","","","10","30","60","2020-04-24 10:18:00"
"La Calera","Cundinamarca","4.72034452148","-73.9697449587","0","1","0","1","0","0","0","","","","","","","100","","2020-04-24 10:18:00"
"La Ceja","Antioquia","6.02805574408","-75.4294308862","1","2","0","1","1","0","0","","","50","","","","50","50","2020-04-24 10:18:00"
"La Dorada","Caldas","8.34513300359","-74.4778605477","27","31","2","2","27","0","0","","","87.096774193548","","","6.4516129032258","6.4516129032258","87.096774193548","2020-04-24 10:18:00"
"La Estrella","Antioquia","6.15841974028","-75.6451903823","7","9","0","2","7","0","0","","","77.777777777778","","","","22.222222222222","77.777777777778","2020-04-24 10:18:00"
"La Tebaida","Quindio","6.00569607721","-75.0256207392","0","1","0","1","0","0","0","","","","","","","100","","2020-04-24 10:18:00"
"La Unión","Valle del Cauca","6.38243035338","-75.6212252215","0","2","0","2","0","0","0","","","","","","","100","","2020-04-24 10:18:00"
"La Virginia","Risaralda","4.49036013291","-75.6425417206","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Leticia","Amazonas","10.1820963025","-75.5118252981","13","14","1","0","11","2","0","2","14.285714285714","78.571428571429","14.285714285714","","7.1428571428571","","92.857142857143","2020-04-24 10:18:00"
"Lorica","Córdoba","9.24085514265","-75.8159953999","0","2","1","1","0","0","0","","","","","","50","50","","2020-04-24 10:18:00"
"Madrid","Cundinamarca","9.19385244104","-74.7496541106","4","8","0","4","4","0","0","","","50","","","","50","50","2020-04-24 10:18:00"
"Malambo","Atlántico","10.8562872414","-74.7742405717","4","4","0","0","2","2","0","2","50","50","50","","","","100","2020-04-24 10:18:00"
"Manizales","Caldas","7.8368375609","-75.4143614377","5","12","0","7","5","0","0","","","41.666666666667","","","","58.333333333333","41.666666666667","2020-04-24 10:18:00"
"Marsella","Risaralda","5.86293376288","-75.6878392213","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Medellín","Antioquia","5.6101097761033","-74.886816625","203","285","2","80","190","5","8","13","4.5614035087719","66.666666666667","1.7543859649123","2.8070175438596","0.70175438596491","28.070175438596","71.228070175439","2020-04-24 10:18:00"
"Melgar","Tolima","4.20815489203","-74.6298504009","2","2","0","0","2","0","0","","","100","","","","","100","2020-04-24 10:18:00"
