"City_Municipality","Department","Latitude","longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Hospitalization_Rate","Mortality_Rate","Last_Update"
"EL RETIRO","ANTIOQUIA","9.1693328895","-74.7349072463","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"ENVIGADO","ANTIOQUIA","6.16700455162","-75.5830101409","20","20","0","0","16","4","0","4","20","","2020-04-08 15:35:00"
"FILANDIA","QUINDÍO","4.67414557186","-75.6586858841","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"FLORIDABLANCA","SANTANDER","7.07236040291","-73.0990326168","4","4","0","0","3","0","1","1","25","","2020-04-08 15:35:00"
"FRONTINO","ANTIOQUIA","6.77606591161","-76.1307651388","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"FUNZA","CUNDINAMARCA","4.7127630154","-74.2115250018","2","2","0","0","2","0","0","","","","2020-04-08 15:35:00"
"FUSAGASUGA","CUNDINAMARCA","4.33848085051","-74.3663339328","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"GALAPA","ATLÁNTICO","10.9196410045","-74.8669380999","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"GINEBRA","VALLE DEL CAUCA","3.72418114734","-76.2680678884","1","1","0","0","0","1","0","1","100","","2020-04-08 15:35:00"
"GUACARI","VALLE DEL CAUCA","3.76290900784","-76.3313673514","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"GUARNE","ANTIOQUIA","6.2780640767","-75.441653922","2","2","0","0","2","0","0","","","","2020-04-08 15:35:00"
"GUATAPE","ANTIOQUIA","6.23259270739","-75.1622925892","0","1","0","1","0","0","0","","","","2020-04-08 15:35:00"
"IBAGUE","TOLIMA","4.43960899136","-75.1937147765","13","15","0","2","12","0","1","1","6.6666666666667","","2020-04-08 15:35:00"
"IPIALES","NARIÑO","0.827734241442","-77.6464007453","3","3","0","0","3","0","0","","","","2020-04-08 15:35:00"
"ITAGUI","ANTIOQUIA","6.16959762893","-75.6143587142","10","10","0","0","8","1","1","2","20","","2020-04-08 15:35:00"
"JAMUNDI","VALLE DEL CAUCA","3.26227576022","-76.5424587285","1","1","0","0","1","0","0","","","","2020-04-08 15:35:00"
"JAMUNDI","VALLE DEL CAUCA","3.26227576022","-76.5424587285","2","2","0","0","2","0","0","","","","2020-04-08 15:35:00"
