"DIVIPOLA","City_Municipality","ID_Deparment","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospital_Beds","Total_Hospital_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Last_Update"
"15757","Socha","15","Boyacá","5.996713021","-72.69196586","3","3","0","0","3","0","0","0","2","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"15759","Sogamoso","15","Boyacá","5.72568939","-72.92304769","7","7","0","0","4","3","0","3","171","1.754","42.857","57.143","42.857","0.000","0.000","0.000","0.000","100.000","#N/D"
"15798","Tenza","15","Boyacá","5.077074351","-73.42058911","0","2","0","2","0","0","0","0","0","","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","#N/D"
"15816","Togüí","15","Boyacá","5.937438225","-73.51365506","4","14","0","10","4","0","0","0","0","","0.000","28.571","0.000","0.000","0.000","0.000","71.429","28.571","#N/D"
"15835","Turmequé","15","Boyacá","5.323252768","-73.49184702","3","3","0","0","3","0","0","0","2","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"17001","Manizales","5","Caldas","5.057688197","-75.49104898","11","24","1","12","10","1","0","1","796","0.126","4.167","41.667","4.167","0.000","4.167","0.224","50.000","45.833","#N/D"
"17042","Anserma","5","Caldas","5.236474391","-75.78434266","0","1","0","1","0","0","0","0","10","0.000","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","#N/D"
"17174","Chinchiná","5","Caldas","4.985812862","-75.60748073","0","4","0","4","0","0","0","0","38","0.000","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","#N/D"
"17380","La Dorada","5","Caldas","5.444406098","-74.65820562","35","53","2","16","35","0","0","0","61","0.000","0.000","66.038","0.000","0.000","3.774","2.702","30.189","66.038","#N/D"
"17442","Marmato","5","Caldas","5.47400482","-75.60024162","1","1","0","0","1","0","0","0","5","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"17444","Marquetalia","5","Caldas","5.297524561","-75.05309703","5","5","0","0","4","1","0","1","5","20.000","20.000","80.000","20.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"17495","Norcasia","5","Caldas","5.574795393","-74.88954408","0","1","1","0","0","0","0","0","4","0.000","0.000","0.000","0.000","0.000","100.000","16.319","0.000","0.000","#N/D"
"17614","Riosucio","5","Caldas","5.423680913","-75.70206971","1","1","0","0","1","0","0","0","14","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"17616","Risaralda","5","Caldas","5.164508957","-75.76721954","1","1","0","0","0","1","0","1","6","16.667","100.000","0.000","100.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"17662","Samaná","5","Caldas","5.413086301","-74.99225776","1","1","0","0","1","0","0","0","9","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"17873","Villamaría","5","Caldas","5.043806686","-75.5137606","3","6","0","3","3","0","0","0","7","0.000","0.000","50.000","0.000","0.000","0.000","0.000","50.000","50.000","#N/D"
"17877","Viterbo","5","Caldas","5.062664236","-75.87060986","0","2","0","2","0","0","0","0","3","0.000","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","#N/D"
"18001","Florencia","18","Caquetá","1.61792293","-75.60856043","15","16","1","0","15","0","0","0","257","0.000","0.000","93.750","0.000","0.000","6.250","0.578","0.000","93.750","#N/D"
"19001","Popayán","47","Cauca","2.482503391","-76.57406468","10","24","1","13","10","0","0","0","660","0.000","0.000","41.667","0.000","0.000","4.167","0.307","54.167","41.667","#N/D"
"19142","Caloto","47","Cauca","3.034070778","-76.40848704","1","1","0","0","1","0","0","0","4","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"19256","El Tambo","47","Cauca","2.45137136","-76.81077225","4","4","0","0","4","0","0","0","5","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"19300","Guachené","47","Cauca","3.134153295","-76.39218874","0","1","0","1","0","0","0","0","0","","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","#N/D"
"19455","Miranda","47","Cauca","3.253095405","-76.22886987","1","6","1","4","1","0","0","0","3","0.000","0.000","16.667","0.000","0.000","16.667","3.117","66.667","16.667","#N/D"
"19548","Piendamó","47","Cauca","2.641987578","-76.52850592","6","6","0","0","5","1","0","1","5","20.000","16.667","83.333","16.667","0.000","0.000","0.000","0.000","100.000","#N/D"
"19573","Puerto Tejada","47","Cauca","3.233294127","-76.4173078","3","3","0","0","3","0","0","0","9","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"19698","Santander de Quilichao","47","Cauca","3.016053901","-76.48537029","2","3","1","0","1","1","0","1","32","3.125","33.333","33.333","33.333","0.000","33.333","0.885","0.000","66.667","#N/D"
"19807","Timbío","47","Cauca","2.349976425","-76.68423879","1","2","0","1","1","0","0","0","5","0.000","0.000","50.000","0.000","0.000","0.000","0.000","50.000","50.000","#N/D"
"19845","Villa rica","47","Cauca","3.177577926","-76.45787266","0","1","1","0","0","0","0","0","1","0.000","0.000","0.000","0.000","0.000","100.000","4.689","0.000","0.000","#N/D"
"20001","Valledupar","20","Cesar","10.46048122","-73.25938931","14","52","6","32","12","2","0","2","1264","0.158","3.846","23.077","3.846","0.000","11.538","1.126","61.538","26.923","#N/D"
"20011","Aguachica","20","Cesar","8.310336958","-73.59902859","0","2","1","1","0","0","0","0","185","0.000","0.000","0.000","0.000","0.000","50.000","0.843","50.000","0.000","#N/D"
"20013","Agustín Codazzi","20","Cesar","10.04045799","-73.23839617","5","6","0","1","4","1","0","1","59","1.695","16.667","66.667","16.667","0.000","0.000","0.000","16.667","83.333","#N/D"
"20060","Bosconia","20","Cesar","9.9750947","-73.88876766","2","2","0","0","2","0","0","0","95","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"20178","Chiriguaná","20","Cesar","9.361189611","-73.60014444","1","1","0","0","1","0","0","0","37","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"20400","La Jagua de Ibirico","20","Cesar","9.5638873","-73.33422791","1","1","0","0","1","0","0","0","32","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"20614","Río de Oro","20","Cesar","8.292287384","-73.3863952","0","2","2","0","0","0","0","0","4","0.000","0.000","0.000","0.000","0.000","100.000","11.240","0.000","0.000","#N/D"
"20621","La Paz","20","Cesar","10.38748954","-73.17136291","0","1","0","1","0","0","0","0","2","0.000","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","#N/D"
"20750","San Diego","20","Cesar","10.33303286","-73.18121808","2","3","0","1","2","0","0","0","5","0.000","0.000","66.667","0.000","0.000","0.000","0.000","33.333","66.667","#N/D"
"20770","San Martín","20","Cesar","7.999895459","-73.51097518","0","2","2","0","0","0","0","0","6","0.000","0.000","0.000","0.000","0.000","100.000","6.952","0.000","0.000","#N/D"
"23001","Montería","5","Córdoba","8.745132591","-75.87557791","14","23","1","8","11","3","0","3","1144","0.262","13.043","47.826","13.043","0.000","4.348","0.198","34.783","60.870","#N/D"
"23090","Canalete","5","Córdoba","8.786944523","-76.24139652","2","2","0","0","2","0","0","0","3","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"23162","Cereté","5","Córdoba","8.888611812","-75.79621652","1","2","0","1","1","0","0","0","55","0.000","0.000","50.000","0.000","0.000","0.000","0.000","50.000","50.000","#N/D"
"23189","Ciénaga de Oro","5","Córdoba","8.875502246","-75.62078664","0","1","1","0","0","0","0","0","6","0.000","0.000","0.000","0.000","0.000","100.000","1.652","0.000","0.000","#N/D"
"23417","Lorica","5","Córdoba","9.240855143","-75.8159954","6","7","1","0","6","0","0","0","133","0.000","0.000","85.714","0.000","0.000","14.286","0.866","0.000","85.714","#N/D"
"23466","Montelíbano","5","Córdoba","7.973777244","-75.41681813","1","1","0","0","1","0","0","0","35","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"23660","Sahagún","5","Córdoba","8.943125416","-75.4459203","0","1","0","1","0","0","0","0","120","0.000","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","#N/D"
"23807","Tierralta","5","Córdoba","8.170378684","-76.05969659","1","2","0","1","0","0","1","1","14","7.143","50.000","0.000","0.000","50.000","0.000","0.000","50.000","50.000","#N/D"
"25001","Agua de dios","47","Cundinamarca","4.375312017","-74.66921778","0","1","1","0","0","0","0","0","6","0.000","0.000","0.000","0.000","0.000","100.000","8.114","0.000","0.000","#N/D"
"25035","Anapoima","47","Cundinamarca","4.562956175","-74.52851753","0","2","0","2","0","0","0","0","0","","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","#N/D"
"25126","Cajicá","47","Cundinamarca","4.920809059","-74.02345397","5","17","0","12","5","0","0","0","23","0.000","0.000","29.412","0.000","0.000","0.000","0.000","70.588","29.412","#N/D"
"25175","Chía","47","Cundinamarca","4.866065424","-74.05034682","10","30","1","19","10","0","0","0","125","0.000","0.000","33.333","0.000","0.000","3.333","0.669","63.333","33.333","#N/D"
"25178","Chipaque","47","Cundinamarca","4.442671017","-74.04487563","1","1","0","0","1","0","0","0","0","","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"25181","Choachí","47","Cundinamarca","4.527047921","-73.92289448","0","1","0","1","0","0","0","0","0","","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","#N/D"
