"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospital_Beds","Total_Hospital_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Recovery_Rates","Active_Rate","Last_Update"
"Canalete","Córdoba","8.78694452257","-76.2413965182","1","1","0","0","1","0","0","","3","","","100","","","","","100","2020-05-03 16:46:00"
"Cereté","Córdoba","8.88861181239","-75.7962165157","1","2","0","1","1","0","0","","55","","","50","","","","50","50","2020-05-03 16:46:00"
"Ciénaga de Oro","Córdoba","8.87550224563","-75.6207866383","0","1","1","0","0","0","0","","6","","","","","","100","","","2020-05-03 16:46:00"
"Lorica","Córdoba","9.24085514265","-75.8159953999","5","6","1","0","5","0","0","","130","","","83.333333333333","","","16.666666666667","","83.333333333333","2020-05-03 16:46:00"
"Montería","Córdoba","8.7451325909","-75.8755779091","10","17","1","6","10","0","0","","1144","","","58.823529411765","","","5.8823529411765","35.294117647059","58.823529411765","2020-05-03 16:46:00"
"Sahagún","Córdoba","8.94312541611","-75.4459203022","0","1","0","1","0","0","0","","120","","","","","","","100","","2020-05-03 16:46:00"
"Tierralta","Córdoba","9.10500159924","-75.806480569","0","1","0","1","0","0","0","","14","","","","","","","100","","2020-05-03 16:46:00"
"Anapoima","Cundinamarca","4.56295617479","-74.5285175294","0","2","0","2","0","0","0","","0","","","","","","","100","","2020-05-03 16:46:00"
"Cajicá","Cundinamarca","4.92080905869","-74.0234539659","7","16","0","9","7","0","0","","18","","","43.75","","","","56.25","43.75","2020-05-03 16:46:00"
"Chía","Cundinamarca","4.86606542368","-74.0503468211","12","29","1","16","12","0","0","","125","","","41.379310344828","","","3.448275862069","55.172413793103","41.379310344828","2020-05-03 16:46:00"
"Chipaque","Cundinamarca","4.44267101655","-74.0448756309","1","1","0","0","1","0","0","","0","","","100","","","","","100","2020-05-03 16:46:00"
"Choachí","Cundinamarca","4.52704792092","-73.9228944808","0","1","0","1","0","0","0","","0","","","","","","","100","","2020-05-03 16:46:00"
"Cogua","Cundinamarca","5.06184179776","-73.9784966905","2","2","0","0","1","1","0","1","0","","50","50","50","","","","100","2020-05-03 16:46:00"
"Cota","Cundinamarca","4.81298776927","-74.1027264632","3","10","0","7","3","0","0","","0","","","30","","","","70","30","2020-05-03 16:46:00"
"Cun","Cundinamarca","5.249767987","-73.7662153323","0","1","1","0","0","0","0","","0","","","","","","100","","","2020-05-03 16:46:00"
"Facatativá","Cundinamarca","4.81306417837","-74.3502279311","7","7","0","0","4","3","0","3","171","1.7543859649123","42.857142857143","57.142857142857","42.857142857143","","","","100","2020-05-03 16:46:00"
"Funza","Cundinamarca","4.7127630154","-74.2115250018","9","12","0","3","9","0","0","","10","","","75","","","","25","75","2020-05-03 16:46:00"
"Fusagasugá","Cundinamarca","4.33848085051","-74.3663339328","4","5","0","1","4","0","0","","92","","","80","","","","20","80","2020-05-03 16:46:00"
"Guaduas","Cundinamarca","5.0718705327","-74.6029562704","1","1","0","0","1","0","0","","10","","","100","","","","","100","2020-05-03 16:46:00"
"La Calera","Cundinamarca","4.72034452148","-73.9697449587","0","1","0","1","0","0","0","","0","","","","","","","100","","2020-05-03 16:46:00"
"Madrid","Cundinamarca","4.73612976558","-74.2656257663","3","8","0","5","3","0","0","","14","","","37.5","","","","62.5","37.5","2020-05-03 16:46:00"
"Mosquera","Cundinamarca","4.71137120122","-74.2317750849","11","13","0","2","10","0","1","1","8","12.5","7.6923076923077","76.923076923077","","7.6923076923077","","15.384615384615","84.615384615385","2020-05-03 16:46:00"
"Pacho","Cundinamarca","5.13694229685","-74.1561166248","8","11","0","3","7","1","0","1","33","3.030303030303","9.0909090909091","63.636363636364","9.0909090909091","","","27.272727272727","72.727272727273","2020-05-03 16:46:00"
"San Juan de Rioseco","Cundinamarca","4.84757599913","-74.6219147166","1","2","0","1","1","0","0","","3","","","50","","","","50","50","2020-05-03 16:46:00"
"Sibaté","Cundinamarca","4.48976359282","-74.2589922464","6","6","0","0","5","1","0","1","3","33.333333333333","16.666666666667","83.333333333333","16.666666666667","","","","100","2020-05-03 16:46:00"
"Soacha","Cundinamarca","4.58549165821","-74.2145275305","43","71","4","24","40","3","0","3","194","1.5463917525773","4.2253521126761","56.338028169014","4.2253521126761","","5.6338028169014","33.802816901408","60.56338028169","2020-05-03 16:46:00"
"Sopó","Cundinamarca","4.90633080922","-73.9457748929","4","6","0","2","4","0","0","","7","","","66.666666666667","","","","33.333333333333","66.666666666667","2020-05-03 16:46:00"
"Subachoque","Cundinamarca","4.92907928898","-74.1727084609","1","3","0","2","1","0","0","","36","","","33.333333333333","","","","66.666666666667","33.333333333333","2020-05-03 16:46:00"
"Suesca","Cundinamarca","5.10351683913","-73.7982897825","2","4","1","1","0","2","0","2","4","50","50","","50","","25","25","50","2020-05-03 16:46:00"
"Tenjo","Cundinamarca","4.87196053725","-74.1439562115","4","6","2","0","3","1","0","1","7","14.285714285714","16.666666666667","50","16.666666666667","","33.333333333333","","66.666666666667","2020-05-03 16:46:00"
"Tocancipá","Cundinamarca","4.96478635371","-73.9120912065","0","3","0","3","0","0","0","","0","","","","","","","100","","2020-05-03 16:46:00"
"Villa de San Diego de Ubaté","Cundinamarca","5.30754098383","-73.8143463395","0","2","0","2","0","0","0","","39","","","","","","","100","","2020-05-03 16:46:00"
"Villapinzón","Cundinamarca","5.21643837183","-73.5953546674","2","6","2","2","2","0","0","","0","","","33.333333333333","","","33.333333333333","33.333333333333","33.333333333333","2020-05-03 16:46:00"
"Villeta","Cundinamarca","5.01279063928","-74.469704945","0","4","0","4","0","0","0","","20","","","","","","","100","","2020-05-03 16:46:00"
"Zipaquirá","Cundinamarca","5.02547168537","-73.9944712419","6","13","2","5","6","0","0","","147","","","46.153846153846","","","15.384615384615","38.461538461538","46.153846153846","2020-05-03 16:46:00"
