"Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Total_Hospital_Capacity","Hospital_Capacity_Rate","Total_ICU_Capacity","Hospital_ICU_Rate","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Last_Update"
"Cauca","2.48250339062","-76.5740646841","12","25","3","10","8","4","0","1187","4","1273","0.31421838177533","84","","16","32","16","","12","40","48","2.106149957877","2020-04-25 16:50:00"
"Cesar","10.4604812152","-73.259389309","32","53","4","17","22","8","2","797","10","2378","0.33641715727502","220","0.90909090909091","18.867924528302","41.509433962264","15.094339622642","3.7735849056604","7.5471698113208","32.075471698113","60.377358490566","6.6499372647428","2020-04-25 16:50:00"
"Chocó","5.69219518726","-76.6259693555","10","10","0","0","9","1","0","424","1","512","0.1953125","20","","10","90","10","","","","100","2.3584905660377","2020-04-25 16:50:00"
"Córdoba","8.7451325909","-75.8755779091","17","23","3","3","17","0","0","1359","","2239","","219","","","73.913043478261","","","13.04347826087","13.04347826087","73.913043478261","1.6924208977189","2020-04-25 16:50:00"
"Cundinamarca","4.65017303026","-74.1073590032","130","196","9","57","115","13","2","1526","15","2312","0.56228373702422","168","1.1904761904762","7.6530612244898","58.673469387755","6.6326530612245","1.0204081632653","4.5918367346939","29.081632653061","66.326530612245","12.844036697248","2020-04-25 16:50:00"
"Huila","8.55014492944","-75.5402712159","51","84","5","28","40","8","3","124","11","1207","0.66280033140017","140","2.1428571428571","13.095238095238","47.619047619048","9.5238095238095","3.5714285714286","5.952380952381","33.333333333333","60.714285714286","67.741935483871","2020-04-25 16:50:00"
"La Guajira","11.5287513839","-72.911488911","3","5","1","1","3","0","0","1355","","1024","","78","","","60","","","20","20","60","0.3690036900369","2020-04-25 16:50:00"
"Magdalena","11.2294335041","-74.1908941206","25","28","2","1","23","2","0","1448","2","2291","0.087298123090354","97","","7.1428571428571","82.142857142857","7.1428571428571","","7.1428571428571","3.5714285714286","89.285714285714","1.9337016574586","2020-04-25 16:50:00"
"Meta","8.45697278227","-76.1247069871","172","186","4","10","172","0","0","1405","","1749","","67","","","92.47311827957","","","2.1505376344086","5.3763440860215","92.47311827957","13.238434163701","2020-04-25 16:50:00"
"Nariño","1.21212436525","-77.2785763476","74","92","6","12","68","3","3","1116","6","1963","0.15282730514519","132","2.2727272727273","6.5217391304348","73.913043478261","3.2608695652174","3.2608695652174","6.5217391304348","13.04347826087","80.434782608696","8.2437275985663","2020-04-25 16:50:00"
"Norte de Santander","7.90530629465","-72.5082561962","34","60","4","22","31","1","2","2014","3","1526","0.065530799475754","134","1.4925373134328","5","51.666666666667","1.6666666666667","3.3333333333333","6.6666666666667","36.666666666667","56.666666666667","2.9791459781529","2020-04-25 16:50:00"
"Quindio","6.15581872915","-75.7868378278","33","55","2","20","33","0","0","901","","965","","45","","","60","","","3.6363636363636","36.363636363636","60","6.1043285238624","2020-04-25 16:50:00"
"Risaralda","8.51722410471","-76.0759945061","143","180","5","32","140","1","2","1779","3","1385","0.072202166064982","97","2.0618556701031","1.6666666666667","77.777777777778","0.55555555555556","1.1111111111111","2.7777777777778","17.777777777778","79.444444444444","10.118043844857","2020-04-25 16:50:00"
"Santander","7.11626727561","-73.1325981781","13","38","2","23","12","0","1","1928","1","3248","","273","0.36630036630037","2.6315789473684","31.578947368421","","2.6315789473684","5.2631578947368","60.526315789474","34.210526315789","1.9709543568465","2020-04-25 16:50:00"
"Sucre","9.30233310439","-75.3954835627","0","1","0","1","0","0","0","221","","1632","","159","","","","","","","100","","0.45248868778281","2020-04-25 16:50:00"
"Tolima","4.43960899136","-75.1937147765","24","42","2","16","23","0","1","791","1","1611","","203","0.49261083743842","2.3809523809524","54.761904761905","","2.3809523809524","4.7619047619048","38.095238095238","57.142857142857","5.3097345132743","2020-04-25 16:50:00"
"Valle del Cauca","3.41441430458","-76.5215651508","608","794","48","138","508","64","36","10257","100","6171","1.0371090584994","803","4.4831880448319","12.594458438287","63.979848866499","8.0604534005038","4.5340050377834","6.0453400503778","17.380352644836","76.574307304786","7.7410548893439","2020-04-25 16:50:00"
