"Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Total_Hospital_Capacity","Hospital_Capacity_Rate","Total_ICU_Capacity","Hospital_ICU_Rate","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Last_Update"
"Cauca","2.48250339062","-76.5740646841","20","34","4","10","15","5","0","1314","5","1273","0.39277297721917","84","","14.705882352941","44.117647058824","14.705882352941","","11.764705882353","29.411764705882","58.823529411765","2.5875190258752","2020-04-28 17:13:00"
"Cesar","10.4604812152","-73.259389309","20","55","6","29","11","7","2","924","9","2378","0.29436501261564","220","0.90909090909091","16.363636363636","20","12.727272727273","3.6363636363636","10.909090909091","52.727272727273","36.363636363636","5.952380952381","2020-04-28 17:13:00"
"Chocó","5.69219518726","-76.6259693555","10","12","1","1","9","1","0","477","1","512","0.1953125","20","","8.3333333333333","75","8.3333333333333","","8.3333333333333","8.3333333333333","83.333333333333","2.5157232704403","2020-04-28 17:13:00"
"Córdoba","8.7451325909","-75.8755779091","17","26","3","6","17","0","0","1561","","2239","","219","","","65.384615384615","","","11.538461538462","23.076923076923","65.384615384615","1.665598975016","2020-04-28 17:13:00"
"Cundinamarca","4.65017303026","-74.1073590032","123","215","13","79","109","13","1","2026","14","2312","0.56228373702422","168","0.5952380952381","6.5116279069767","50.697674418605","6.046511627907","0.46511627906977","6.046511627907","36.744186046512","57.209302325581","10.612043435341","2020-04-28 17:13:00"
"Huila","8.55014492944","-75.5402712159","63","101","6","32","54","7","2","137","9","1207","0.57995028997514","140","1.4285714285714","8.9108910891089","53.465346534653","6.9306930693069","1.980198019802","5.9405940594059","31.683168316832","62.376237623762","73.722627737226","2020-04-28 17:13:00"
"La Guajira","11.5287513839","-72.911488911","3","5","1","1","3","0","0","1837","","1024","","78","","","60","","","20","20","60","0.27218290691345","2020-04-28 17:13:00"
"Magdalena","11.2294335041","-74.1908941206","25","29","3","1","23","1","1","2098","2","2291","0.043649061545177","97","1.0309278350515","6.8965517241379","79.310344827586","3.448275862069","3.448275862069","10.344827586207","3.448275862069","86.206896551724","1.3822688274547","2020-04-28 17:13:00"
"Meta","8.45697278227","-76.1247069871","341","355","4","10","335","5","1","2065","6","1749","0.28587764436821","67","1.4925373134328","1.6901408450704","94.366197183099","1.4084507042254","0.28169014084507","1.1267605633803","2.8169014084507","96.056338028169","17.191283292978","2020-04-28 17:13:00"
"Nariño","1.21212436525","-77.2785763476","91","113","8","14","83","5","3","1272","8","1963","0.25471217524198","132","2.2727272727273","7.0796460176991","73.451327433628","4.4247787610619","2.6548672566372","7.0796460176991","12.389380530973","80.530973451327","8.8836477987421","2020-04-28 17:13:00"
"Norte de Santander","7.90530629465","-72.5082561962","39","69","5","25","36","2","1","2303","3","1526","0.13106159895151","134","0.74626865671642","4.3478260869565","52.173913043478","2.8985507246377","1.4492753623188","7.2463768115942","36.231884057971","56.521739130435","2.9960920538428","2020-04-28 17:13:00"
"Quindio","6.15581872915","-75.7868378278","34","60","3","23","33","0","1","1024","1","965","","45","2.2222222222222","1.6666666666667","55","","1.6666666666667","5","38.333333333333","56.666666666667","5.859375","2020-04-28 17:13:00"
"Risaralda","8.51722410471","-76.0759945061","145","191","6","40","141","1","3","2875","4","1385","0.072202166064982","97","3.0927835051546","2.0942408376963","73.821989528796","0.52356020942408","1.5706806282723","3.1413612565445","20.942408376963","75.916230366492","6.6434782608696","2020-04-28 17:13:00"
"Santander","7.11626727561","-73.1325981781","11","40","3","26","11","0","0","2216","","3248","","273","","","27.5","","","7.5","65","27.5","1.8050541516245","2020-04-28 17:13:00"
"Sucre","9.30233310439","-75.3954835627","0","1","0","1","0","0","0","217","","1632","","159","","","","","","","100","","0.46082949308756","2020-04-28 17:13:00"
"Tolima","4.43960899136","-75.1937147765","44","62","2","16","41","0","3","1074","3","1611","","203","1.4778325123153","4.8387096774194","66.129032258065","","4.8387096774194","3.2258064516129","25.806451612903","70.967741935484","5.7728119180633","2020-04-28 17:13:00"
"Valle del Cauca","3.41441430458","-76.5215651508","638","857","51","168","530","74","34","11230","108","6171","1.19915734889","803","4.2341220423412","12.602100350058","61.843640606768","8.634772462077","3.9673278879813","5.950991831972","19.603267211202","74.445740956826","7.6313446126447","2020-04-28 17:13:00"
