"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospital_Capacity","Hospital_Capacity_Rate","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Last_Update"
"Bello","Antioquia","6.33406883641","-75.554665073","36","50","1","13","35","0","1","1","711","0.14064697609001","2","70","","2","2","26","72","2020-04-26 16:35:00"
"Bogotá D.C.","Bogotá D.C.","4.65017303026","-74.1073590032","1736","2245","87","422","1583","114","39","153","14525","1.0533562822719","6.815144766147","70.512249443207","5.0779510022272","1.7371937639198","3.8752783964365","18.797327394209","77.327394209354","2020-04-26 16:35:00"
"Bosconia","Cesar","9.97509470036","-73.8887676643","1","1","0","0","1","0","0","","191","","","100","","","","","100","2020-04-26 16:35:00"
"Bucaramanga","Santander","7.11626727561","-73.1325981781","8","20","1","11","8","0","0","","1961","","","40","","","5","55","40","2020-04-26 16:35:00"
"Buenaventura","Buenaventura D.E.","3.87580243673","-77.0117402003","22","24","1","1","20","0","2","2","250","0.8","8.3333333333333","83.333333333333","","8.3333333333333","4.1666666666667","4.1666666666667","91.666666666667","2020-04-26 16:35:00"
"Bugalagrande","Valle del Cauca","4.20833159173","-76.1568077444","1","1","0","0","1","0","0","","11","","","100","","","","","100","2020-04-26 16:35:00"
"Cajicá","Cundinamarca","4.92080905869","-74.0234539659","11","16","0","5","10","1","0","1","36","2.7777777777778","6.25","62.5","6.25","","","31.25","68.75","2020-04-26 16:35:00"
"Calamar","Bolívar","10.2519633588","-74.9136292818","0","1","1","0","0","0","0","","15","","","","","","100","","","2020-04-26 16:35:00"
"Calarcá","Quindio","4.51528184598","-75.6490883624","5","6","0","1","5","0","0","","51","","","83.333333333333","","","","16.666666666667","83.333333333333","2020-04-26 16:35:00"
"Caldas","Antioquia","6.09129696608","-75.6336187219","1","3","0","2","1","0","0","","98","","","33.333333333333","","","","66.666666666667","33.333333333333","2020-04-26 16:35:00"
"Cali","Valle del Cauca","3.41441430458","-76.5215651508","518","658","39","101","421","63","34","97","5888","1.6474184782609","14.741641337386","63.981762917933","9.5744680851064","5.1671732522796","5.9270516717325","15.349544072948","78.723404255319","2020-04-26 16:35:00"
"Calima","Valle del Cauca","3.93352446268","-76.4843917469","0","1","0","1","0","0","0","","11","","","","","","","100","","2020-04-26 16:35:00"
"Candelaria","Valle del Cauca","10.4612172348","-74.879912602","3","3","0","0","3","0","0","","4","","","100","","","","","100","2020-04-26 16:35:00"
"Cartagena de Indias","Cartagena D.T. y C.","10.3849855226","-75.496431028","139","220","19","62","114","18","7","25","3177","0.78690588605603","11.363636363636","51.818181818182","8.1818181818182","3.1818181818182","8.6363636363636","28.181818181818","63.181818181818","2020-04-26 16:35:00"
"Cartago","Valle del Cauca","4.75875509757","-75.9422640436","4","10","0","6","4","0","0","","193","","","40","","","","60","40","2020-04-26 16:35:00"
"Cereté","Córdoba","8.88861181239","-75.7962165157","1","1","0","0","1","0","0","","111","","","100","","","","","100","2020-04-26 16:35:00"
"Chía","Cundinamarca","4.86606542368","-74.0503468211","14","25","0","11","14","0","0","","250","","","56","","","","44","56","2020-04-26 16:35:00"
